iteration,score
0,4423.76404494382
1,4450.76404494382
2,4450.76404494382
3,4614.483146067416
4,4631.842696629214
5,4834.561797752809
6,4829.561797752809
7,4829.561797752809
8,4870.561797752809
9,4934.921348314607
10,4934.921348314607
11,4934.921348314607
12,4934.921348314607
13,4934.921348314607
14,4934.921348314607
15,4934.921348314607
16,5015.921348314607
17,5015.921348314607
18,5036.921348314607
19,5036.921348314607
20,5035.921348314607
21,5065.921348314607
22,5065.921348314607
23,5102.561797752809
24,5161.2808988764045
25,5161.2808988764045
26,5175.2808988764045
27,5175.2808988764045
28,5175.2808988764045
29,5175.2808988764045
30,5175.2808988764045
31,5213.640449438202
32,5180.640449438202
33,5180.640449438202
34,5180.640449438202
35,5199.640449438202
36,5199.640449438202
37,5199.640449438202
38,5199.640449438202
39,5199.640449438202
40,5199.640449438202
41,5232.640449438202
42,5232.640449438202
43,5232.640449438202
44,5232.640449438202
45,5232.640449438202
46,5232.640449438202
47,5232.640449438202
48,5232.640449438202
49,5232.640449438202
50,5125.640449438202
51,5125.640449438202
52,5125.640449438202
53,5125.640449438202
54,5125.640449438202
55,5125.640449438202
56,5125.640449438202
57,5125.640449438202
58,5125.640449438202
59,5125.640449438202
60,5125.640449438202
61,5125.640449438202
62,5125.640449438202
63,5125.640449438202
64,5125.640449438202
65,5226.0
66,5226.0
67,5226.0
68,5226.0
69,5226.0
70,5184.0
71,5230.0
72,5267.0
73,5267.0
74,5267.0
75,5250.0
76,5250.0
77,5250.0
78,5250.0
79,5250.0
80,5250.0
81,5189.640449438202
82,5189.640449438202
83,5189.640449438202
84,5189.640449438202
85,5189.640449438202
86,5189.640449438202
87,5274.0
88,5274.0
89,5274.0
90,5274.0
91,5274.0
92,5367.0
93,5367.0
94,5367.0
95,5367.0
96,5367.0
97,5367.0
98,5367.0
99,5367.0
100,5367.0
101,5367.0
102,5367.0
103,5367.0
104,5367.0
105,5367.0
106,5388.640449438202
107,5388.640449438202
108,5388.640449438202
109,5388.640449438202
110,5388.640449438202
111,5388.640449438202
112,5388.640449438202
113,5388.640449438202
114,5388.640449438202
115,5388.640449438202
116,5388.640449438202
117,5388.640449438202
118,5388.640449438202
119,5388.640449438202
120,5388.640449438202
121,5388.640449438202
122,5388.640449438202
123,5346.640449438202
124,5346.640449438202
125,5346.640449438202
126,5346.640449438202
127,5346.640449438202
128,5346.640449438202
129,5346.640449438202
130,5258.921348314607
131,5258.921348314607
132,5258.921348314607
133,5268.921348314607
134,5268.921348314607
135,5268.921348314607
136,5268.921348314607
137,5268.921348314607
138,5268.921348314607
139,5268.921348314607
140,5268.921348314607
141,5268.921348314607
142,5268.921348314607
143,5268.921348314607
144,5268.921348314607
145,5268.921348314607
146,5268.921348314607
147,5268.921348314607
148,5268.921348314607
149,5277.921348314607
150,5277.921348314607
151,5277.921348314607
152,5277.921348314607
153,5277.921348314607
154,5277.921348314607
155,5277.921348314607
156,5277.921348314607
157,5277.921348314607
158,5277.921348314607
159,5277.921348314607
160,5277.921348314607
161,5277.921348314607
162,5248.921348314607
163,5248.921348314607
164,5248.921348314607
165,5248.921348314607
166,5248.921348314607
167,5248.921348314607
168,5248.921348314607
169,5248.921348314607
170,5248.921348314607
171,5248.921348314607
172,5248.921348314607
173,5248.921348314607
174,5248.921348314607
175,5248.921348314607
176,5249.921348314607
177,5249.921348314607
178,5249.921348314607
179,5249.921348314607
180,5193.561797752809
181,5193.561797752809
182,5193.561797752809
183,5193.561797752809
184,5193.561797752809
185,5193.561797752809
186,5193.561797752809
187,5222.561797752809
188,5222.561797752809
189,5222.561797752809
190,5222.561797752809
191,5222.561797752809
192,5222.561797752809
193,5222.561797752809
194,5281.921348314607
195,5281.921348314607
196,5281.921348314607
197,5281.921348314607
198,5281.921348314607
199,5281.921348314607
200,5281.921348314607
201,5291.921348314607
202,5291.921348314607
203,5291.921348314607
204,5291.921348314607
205,5291.921348314607
206,5291.921348314607
207,5291.921348314607
208,5284.921348314607
209,5284.921348314607
210,5284.921348314607
211,5432.921348314607
212,5432.921348314607
213,5432.921348314607
214,5432.921348314607
215,5432.921348314607
216,5432.921348314607
217,5432.921348314607
218,5432.921348314607
219,5432.921348314607
220,5432.921348314607
221,5432.921348314607
222,5432.921348314607
223,5432.921348314607
224,5432.921348314607
225,5432.921348314607
226,5397.2808988764045
227,5397.2808988764045
228,5397.2808988764045
229,5397.2808988764045
230,5397.2808988764045
231,5397.2808988764045
232,5397.2808988764045
233,5397.2808988764045
234,5397.2808988764045
235,5397.2808988764045
236,5397.2808988764045
237,5520.640449438202
238,5520.640449438202
239,5520.640449438202
240,5520.640449438202
241,5520.640449438202
242,5520.640449438202
243,5520.640449438202
244,5520.640449438202
245,5520.640449438202
246,5520.640449438202
247,5520.640449438202
248,5520.640449438202
249,5520.640449438202
250,5520.640449438202
251,5520.640449438202
252,5520.640449438202
253,5517.2808988764045
254,5517.2808988764045
255,5517.2808988764045
256,5517.2808988764045
257,5517.2808988764045
258,5517.2808988764045
259,5517.2808988764045
260,5517.2808988764045
261,5517.2808988764045
262,5517.2808988764045
263,5517.2808988764045
264,5517.2808988764045
265,5517.2808988764045
266,5517.2808988764045
267,5517.2808988764045
268,5517.2808988764045
269,5517.2808988764045
270,5517.2808988764045
271,5499.921348314607
272,5499.921348314607
273,5499.921348314607
274,5499.921348314607
275,5470.561797752809
276,5470.561797752809
277,5470.561797752809
278,5470.561797752809
279,5470.561797752809
280,5470.561797752809
281,5470.561797752809
282,5470.561797752809
283,5470.561797752809
284,5470.561797752809
285,5470.561797752809
286,5470.561797752809
287,5470.561797752809
288,5470.561797752809
289,5470.561797752809
290,5470.561797752809
291,5470.561797752809
292,5470.561797752809
293,5470.561797752809
294,5470.561797752809
295,5470.561797752809
296,5470.561797752809
297,5470.561797752809
298,5470.561797752809
299,5470.561797752809
300,5470.561797752809
301,5470.561797752809
302,5470.561797752809
303,5470.561797752809
304,5470.561797752809
305,5470.561797752809
306,5470.561797752809
307,5470.561797752809
308,5470.561797752809
309,5470.561797752809
310,5470.561797752809
311,5470.561797752809
312,5470.561797752809
313,5470.561797752809
314,5470.561797752809
315,5470.561797752809
316,5470.561797752809
317,5470.561797752809
318,5470.561797752809
319,5470.561797752809
320,5470.561797752809
321,5470.561797752809
322,5470.561797752809
323,5470.561797752809
324,5470.561797752809
325,5470.561797752809
326,5470.561797752809
327,5470.561797752809
328,5470.561797752809
329,5470.561797752809
330,5470.561797752809
331,5473.561797752809
332,5473.561797752809
333,5473.561797752809
334,5473.561797752809
